,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Country
323,Cantaura,9.31,-64.36,79.65,78,100,9.24,VE
324,Rocha,-34.48,-54.33,68.74,64,0,11.1,UY
325,Tamandaré,-8.76,-35.1,78.17,75,13,9.06,BR
326,Changji,44.02,87.32,15.8,72,0,2.24,CN
327,Torata,-17.08,-70.84,64.78,38,29,8.55,PE
328,Suez,29.97,32.53,63.27,75,56,5.57,EG
329,Huarmey,-10.07,-78.15,69.93,66,3,9.98,PE
330,Nanning,22.82,108.32,66.2,72,75,11.18,CN
331,Teseney,15.11,36.66,70.03,85,0,12.06,ER
332,Haines Junction,60.75,-137.51,-0.4,64,100,3.36,CA
333,Zhuanghe,39.7,122.99,27.97,79,0,9.31,CN
334,Vanino,49.09,140.25,11.68,80,0,6.87,RU
335,Urcos,-13.69,-71.62,69.8,14,20,13.87,PE
336,Cap Malheureux,-19.98,57.61,73.99,79,0,4.0,MU
337,Shaunavon,49.65,-108.42,23.0,73,9,4.7,CA
338,Scottsbluff,41.87,-103.67,48.2,19,1,11.41,US
339,Udachny,66.42,112.4,8.6,92,75,6.71,RU
340,Sørland,67.67,12.69,39.2,85,75,2.24,NO
341,West Plains,36.73,-91.85,46.4,75,90,6.93,US
342,Wanning,18.8,110.4,75.42,90,24,6.35,CN
343,Yichang,30.71,111.28,41.0,82,97,1.92,CN
344,Kroonstad,-27.65,27.23,69.01,82,100,3.0,ZA
345,Touros,-5.2,-35.46,80.6,74,20,8.05,BR
346,Moranbah,-22.0,148.05,71.62,75,0,10.87,AU
347,General Roca,-39.03,-67.58,64.4,59,0,3.36,AR
348,Portland,45.52,-122.68,45.0,75,75,8.05,US
349,Ajdabiya,30.76,20.23,66.52,45,100,16.46,LY
350,Dossor,47.53,52.98,26.85,78,97,11.65,KZ
351,Rāwah,34.48,41.91,57.07,48,18,8.9,IQ
352,Bairiki Village,1.33,172.98,84.2,66,20,9.17,KI
353,Kisangani,0.52,25.2,73.78,82,100,1.23,CD
354,Seryshevo,51.09,128.38,10.4,96,100,3.24,RU
355,Kodinsk,58.69,99.18,18.27,96,100,6.11,RU
356,Inta,66.03,60.17,16.72,92,96,9.95,RU
357,Mahanje,-9.93,35.33,68.32,81,1,3.56,TZ
358,Te Anau,-45.42,167.72,50.0,57,99,0.69,NZ
359,Nueva Loja,0.08,-76.88,78.8,88,75,1.12,EC
360,Nemuro,43.32,145.57,34.88,96,100,19.24,JP
361,Tiksi,71.69,128.87,-4.72,90,86,5.66,RU
362,Skibbereen,51.55,-9.27,39.2,86,20,4.7,IE
363,Oktyabr'skiy,54.48,53.47,20.79,90,100,8.77,RU
364,Baghdad,33.34,44.4,57.2,67,0,6.93,IQ
365,Flinders,-34.58,150.86,71.01,93,100,1.99,AU
366,Kautokeino,69.01,23.04,24.28,97,85,1.88,NO
367,Arlit,18.74,7.39,73.49,19,0,7.09,NE
368,Zárate,-34.1,-59.03,86.0,52,0,8.01,AR
